id;title;destination;published_date;booked_date
1;drive reboot sticky;navigate solid;2023-03-26T14:11:10;2023-03-26T02:03:38
2;Massachusetts override Rubber;Soap;2023-03-26T04:02:11;2023-03-26T06:40:07
3;THX Loan Engineer;Malawi;2023-03-26T01:02:15;2023-03-26T02:37:41
4;boliviano THX Avon;orchestration;2023-03-25T20:59:37;2023-03-26T19:25:21
5;sensor Optimization;revolutionary Extended;2023-03-26T10:57:55;2023-03-26T17:45:41
6;maroon Chief;Frozen;2023-03-26T18:46:06;2023-03-26T04:28:01
7;Armenia models;user-centric;2023-03-26T14:43:39;2023-03-26T02:00:53
8;web;blue holistic concept;2023-03-26T16:12:06;2023-03-26T06:30:54
9;Ethiopian Toys matrix;Borders Bulgarian convergence;2023-03-26T14:06:35;2023-03-26T01:37:54
10;Summit;models Switchable enhance;2023-03-26T03:02:47;2023-03-26T05:45:51
